query_id,intervention,split,rank,candidate_id,surrogate,score,relevance
intervention:corticosterone,Corticosterone,train,1,surrogate:telomere_length,telomere length,0.680149,1
intervention:corticosterone,Corticosterone,train,2,surrogate:il6,IL6,0.668577,2
intervention:corticosterone,Corticosterone,train,3,surrogate:sasp_panel,SASP panel,0.661564,0
intervention:corticosterone,Corticosterone,train,4,surrogate:nad_nadh_ratio,NAD+ NADH ratio,0.574739,0
intervention:corticosterone,Corticosterone,train,5,surrogate:p16ink4a_expression,p16INK4a expression,0.564481,0
intervention:corticosterone,Corticosterone,train,6,surrogate:hba1c,HbA1c,0.489848,0
intervention:corticosterone,Corticosterone,train,7,surrogate:bdnf,BDNF,0.453978,1
intervention:corticosterone,Corticosterone,train,8,surrogate:met,MET,0.396225,0
intervention:corticosterone,Corticosterone,train,9,surrogate:nt_probnp,NT-proBNP,0.358019,0
intervention:corticosterone,Corticosterone,train,10,surrogate:creatinine,creatinine,0.335576,0
intervention:dasatinib_quercetin,Dasatinib + Quercetin,train,1,surrogate:sasp_panel,SASP panel,0.818873,3
intervention:dasatinib_quercetin,Dasatinib + Quercetin,train,2,surrogate:il6,IL6,0.759636,1
intervention:dasatinib_quercetin,Dasatinib + Quercetin,train,3,surrogate:nad_nadh_ratio,NAD+ NADH ratio,0.747876,0
intervention:dasatinib_quercetin,Dasatinib + Quercetin,train,4,surrogate:p16ink4a_expression,p16INK4a expression,0.726025,3
intervention:dasatinib_quercetin,Dasatinib + Quercetin,train,5,surrogate:telomere_length,telomere length,0.691797,1
intervention:dasatinib_quercetin,Dasatinib + Quercetin,train,6,surrogate:hba1c,HbA1c,0.617813,0
intervention:dasatinib_quercetin,Dasatinib + Quercetin,train,7,surrogate:met,MET,0.520737,0
intervention:dasatinib_quercetin,Dasatinib + Quercetin,train,8,surrogate:fasting_glucose,fasting glucose,0.511155,0
intervention:dasatinib_quercetin,Dasatinib + Quercetin,train,9,surrogate:triglycerides,triglycerides,0.49134,0
intervention:dasatinib_quercetin,Dasatinib + Quercetin,train,10,surrogate:creatinine,creatinine,0.416187,0
intervention:dual_glp_1_gip_receptor_agonists,Dual Glp-1/Gip Receptor Agonists,train,1,surrogate:hba1c,HbA1c,0.731746,1
