query_id,intervention,split,rank,candidate_id,surrogate,score,relevance
intervention:acarbose,Acarbose,train,1,surrogate:fasting_glucose,fasting glucose,0.827763,1
intervention:acarbose,Acarbose,train,2,surrogate:nad_nadh_ratio,NAD+ NADH ratio,0.795512,1
intervention:acarbose,Acarbose,train,3,surrogate:sasp_panel,SASP panel,0.778209,2
intervention:acarbose,Acarbose,train,4,surrogate:homa_ir,HOMA-IR,0.770819,3
intervention:acarbose,Acarbose,train,5,surrogate:hba1c,HbA1c,0.740094,1
intervention:acarbose,Acarbose,train,6,surrogate:met,MET,0.727059,0
intervention:acarbose,Acarbose,train,7,surrogate:il6,IL6,0.604152,0
intervention:acarbose,Acarbose,train,8,surrogate:parp1,PARP1,0.575869,0
intervention:acarbose,Acarbose,train,9,surrogate:creatinine,creatinine,0.539924,0
intervention:acarbose,Acarbose,train,10,surrogate:pten,PTEN,0.488609,0
intervention:betulinic_acid,Betulinic Acid,train,1,surrogate:igf_1,IGF-1,0.753384,2
intervention:betulinic_acid,Betulinic Acid,train,2,surrogate:tnf_alpha,TNF-alpha,0.590414,1
intervention:betulinic_acid,Betulinic Acid,train,3,surrogate:fasting_glucose,fasting glucose,0.430568,0
intervention:betulinic_acid,Betulinic Acid,train,4,surrogate:nad_nadh_ratio,NAD+ NADH ratio,0.425486,0
intervention:betulinic_acid,Betulinic Acid,train,5,surrogate:ddc,DDC,0.418885,1
intervention:betulinic_acid,Betulinic Acid,train,6,surrogate:met,MET,0.403115,0
intervention:betulinic_acid,Betulinic Acid,train,7,surrogate:sasp_panel,SASP panel,0.386971,0
intervention:betulinic_acid,Betulinic Acid,train,8,surrogate:homa_ir,HOMA-IR,0.342172,0
intervention:betulinic_acid,Betulinic Acid,train,9,surrogate:telomere_length,telomere length,0.286491,0
intervention:betulinic_acid,Betulinic Acid,train,10,surrogate:hba1c,HbA1c,0.274097,0
intervention:curcumin,Curcumin,train,1,surrogate:pten,PTEN,0.810158,2
intervention:curcumin,Curcumin,train,2,surrogate:sasp_panel,SASP panel,0.799456,2
intervention:curcumin,Curcumin,train,3,surrogate:il6,IL6,0.765462,3
intervention:curcumin,Curcumin,train,4,surrogate:nad_nadh_ratio,NAD+ NADH ratio,0.753618,0
intervention:curcumin,Curcumin,train,5,surrogate:met,MET,0.677841,2
intervention:curcumin,Curcumin,train,6,surrogate:crp,CRP,0.516851,2
intervention:curcumin,Curcumin,train,7,surrogate:fasting_glucose,fasting glucose,0.499627,0
